count_objects,count_objects_public,date_end,date_start,department_id,id,title,url
4,4,2014-07-26,2014-04-30,35347495,35474645,The Unity of Nature: Alexander von Humboldt and the Americas,http://collection.cooperhewitt.org/exhibitions/35474645/
3,3,2014-10-31,2013-11-10,35347495,35474807,New York and the Gilded Age,http://collection.cooperhewitt.org/exhibitions/35474807/
73,50,2009-09-07,2009-03-06,35347495,35350959,Shahzia Sikander Selects: Works from the Permanent Collection,http://collection.cooperhewitt.org/exhibitions/35350959/
5,4,2011-01-02,2010-09-03,35347493,35350987,Recent Acquisitions: Digital Typography Collection,http://collection.cooperhewitt.org/exhibitions/35350987/
182,25,2010-04-04,2009-10-16,35347495,35350967,Design USA: Contemporary Innovation,http://collection.cooperhewitt.org/exhibitions/35350967/
10,2,2009-10-12,2009-10-01,35347495,35350973,Meier 75,http://collection.cooperhewitt.org/exhibitions/35350973/
369,128,2008-07-06,2008-03-07,35347495,35350903,Rococo: The Continuing Curve 1730-2008,http://collection.cooperhewitt.org/exhibitions/35350903/
43,31,2008-08-24,2008-02-15,35347495,35350915,Campana Brothers Select: Works from the Permanent Collection,http://collection.cooperhewitt.org/exhibitions/35350915/
35,32,2007-10-14,2007-08-17,35347495,35350945,Looking Forward/ Looking Back: Recent Acquisitions in 20th- and 21st-Century Design,http://collection.cooperhewitt.org/exhibitions/35350945/
67,22,2009-04-05,2008-10-03,35347495,35350907,Wall Stories: Children's Wallpapers and Books,http://collection.cooperhewitt.org/exhibitions/35350907/
126,118,2009-01-25,2008-08-12,35347495,35350943,House Proud: 19th Century Watercolor Interiors from the Thaw Collection,http://collection.cooperhewitt.org/exhibitions/35350943/
333,3,2011-06-19,2011-03-18,35347495,35350979,Color Moves: Art and Fashion by Sonia Delaunay,http://collection.cooperhewitt.org/exhibitions/35350979/
75,11,2009-09-07,2009-03-06,35347495,35350951,Fashioning Felt,http://collection.cooperhewitt.org/exhibitions/35350951/
218,120,2011-01-02,2010-04-23,35347495,35350971,Ted Muehling Selects: Lobmeyr Glass from the Permanent Collection,http://collection.cooperhewitt.org/exhibitions/35350971/
31,29,2008-01-13,2007-06-22,35347495,35350901,IDEO Selects: Works from the Permanent Collection,http://collection.cooperhewitt.org/exhibitions/35350901/
326,13,2011-01-09,2010-05-14,35347495,35350969,National Design Triennial: Why Design Now?,http://collection.cooperhewitt.org/exhibitions/35350969/
48,47,2019-01-25,2008-09-12,35347497,35350961,"Curators Select: Recent Acquisitions, 2003-2008",http://collection.cooperhewitt.org/exhibitions/35350961/
114,104,2001-10-14,2001-04-24,35347503,35350105,Rooms with a View: Landscape & Wallpaper,http://collection.cooperhewitt.org/exhibitions/35350105/
263,83,2002-03-31,2001-08-21,35347495,35350107,Glass of the Avant-Garde: From Vienna Secession to Bauhaus,http://collection.cooperhewitt.org/exhibitions/35350107/
443,4,0102-09-15,2001-11-20,35347495,35350109,Russel Wright: Creating American Lifestyle,http://collection.cooperhewitt.org/exhibitions/35350109/
240,156,2006-10-22,2006-05-19,35347493,35350755,"Frederic Church, Winslow Homer & Thomas Moran: Tourism and the American Landscape",http://collection.cooperhewitt.org/exhibitions/35350755/
272,20,2005-10-30,2005-04-08,35347495,35350777,Extreme Textiles: Designing for High Performance,http://collection.cooperhewitt.org/exhibitions/35350777/
90,73,2008-09-10,2007-11-09,35347495,35350753,Multiple Choice: From Sample to Product,http://collection.cooperhewitt.org/exhibitions/35350753/
316,3,2004-01-25,2003-04-22,35347495,35350321,National Design Triennial: Inside Design Now,http://collection.cooperhewitt.org/exhibitions/35350321/
166,21,2005-02-27,2004-10-01,35347495,35350323,Josef and Anni Albers: Designs for Living,http://collection.cooperhewitt.org/exhibitions/35350323/
2,2,1987-01-25,1986-11-03,35347497,35350017,Berlin 1900-1933: Architecture and Design,http://collection.cooperhewitt.org/exhibitions/35350017/
27,27,1999-08-08,1999-04-27,35347495,35350079,"The Huguenot Legacy: English Silver, 1680-1760 from the Alan & Simone Hartman Collection",http://collection.cooperhewitt.org/exhibitions/35350079/
1,1,1979-11-25,1979-08-28,35347495,35350475,The Cooper-Hewitt Collection: Glass,http://collection.cooperhewitt.org/exhibitions/35350475/
184,1,2003-03-02,2002-10-29,35347495,35350233,New Hotels for Global Nomads,http://collection.cooperhewitt.org/exhibitions/35350233/
387,15,2004-07-25,2004-03-05,35347495,35350293,Shock of the Old: Christopher Dresser,http://collection.cooperhewitt.org/exhibitions/35350293/
67,62,2004-05-02,2003-10-16,35347495,35350239,Nancy and Edwin Marks Collection Gallery: Treasures from the Collection,http://collection.cooperhewitt.org/exhibitions/35350239/
1,1,1998-10-11,1998-06-09,0,35350235,"Fountains, Splash and Spectacle",http://collection.cooperhewitt.org/exhibitions/35350235/
4,3,1981-03-29,1981-01-29,35347495,35350269,Ephemeral Images: Recent American Posters,http://collection.cooperhewitt.org/exhibitions/35350269/
111,111,1995-08-20,1995-04-11,35347503,35349721,Kitsch to Corbusier: Wallpapers from the 1950s,http://collection.cooperhewitt.org/exhibitions/35349721/
717,654,1992-08-30,1991-03-26,35347495,35349375,The Cooper-Hewitt Collections: A Design Resource,http://collection.cooperhewitt.org/exhibitions/35349375/
9,9,2004-11-14,2004-08-13,35347503,35350859,Artist's Designed Wallpapers,http://collection.cooperhewitt.org/exhibitions/35350859/
84,59,2005-01-30,2004-06-04,35347495,35350831,"Faster, Cheaper, Newer, More: The Revolutions of 1848",http://collection.cooperhewitt.org/exhibitions/35350831/
69,56,2006-09-24,2005-10-07,35347495,35350867,Yinka Shonibare,http://collection.cooperhewitt.org/exhibitions/35350867/
31,25,2006-01-08,2005-11-04,35347495,35350873,Excavating Design: 18th-century Drawings and Prints from the Permanent Collection,http://collection.cooperhewitt.org/exhibitions/35350873/
2,2,1998-09-15,1998-02-03,35347495,35350845,The Jewels of Lalique,http://collection.cooperhewitt.org/exhibitions/35350845/
1,1,2005-08-27,2005-02-25,0,35350865,Thoroughly Modern: The New Women Art Students of Robert Henri,http://collection.cooperhewitt.org/exhibitions/35350865/
368,7,2007-07-29,2006-12-08,35347495,35350897,Design Life Now: National Design Triennial 2006,http://collection.cooperhewitt.org/exhibitions/35350897/
