object_id,color_1,closest_1,color_2,closest_2,color_3,closest_3,color_4,closest_4,color_5,closest_5,palette,url
18102967,#91826e,#808080,#6f6454,#696969,,,,,,,css3,http://images.collection.cooperhewitt.org/42_a164596dc9b98b35_z.jpg
18102981,#aca2b1,#a9a9a9,#7a6e73,#696969,#564e54,#696969,#cac8db,#d3d3d3,#322b35,#2f4f4f,css3,http://images.collection.cooperhewitt.org/44_e18faf4ac0eb1010_z.jpg
18102989,#aca2b1,#a9a9a9,#7a6e73,#696969,#564e54,#696969,#cac8db,#d3d3d3,#322b35,#2f4f4f,css3,http://images.collection.cooperhewitt.org/45_e18faf4ac0eb1010_z.jpg
18102995,#aca2b1,#a9a9a9,#7a6e73,#696969,#564e54,#696969,#cac8db,#d3d3d3,#322b35,#2f4f4f,css3,http://images.collection.cooperhewitt.org/46_e18faf4ac0eb1010_z.jpg
18103003,#aca2b1,#a9a9a9,#7a6e73,#696969,#564e54,#696969,#cac8db,#d3d3d3,#322b35,#2f4f4f,css3,http://images.collection.cooperhewitt.org/47_e18faf4ac0eb1010_z.jpg
18103057,#9f9389,#bc8f8f,#7f736a,#696969,#625249,#556b2f,,,,,css3,http://images.collection.cooperhewitt.org/48_6b6f22b9db26e19c_z.jpg
18103065,#bdb6ab,#c0c0c0,#817064,#696969,#a4907f,#bc8f8f,#c6d0d1,#d3d3d3,,,css3,http://images.collection.cooperhewitt.org/49_fe3b469fea6a842e_z.jpg
18102903,#cec6b8,#c0c0c0,#9a8e95,#bc8f8f,#5f5547,#556b2f,#bb9963,#bdb76b,#a48275,#bc8f8f,css3,http://images.collection.cooperhewitt.org/56_275bf112366c93aa_z.jpg
18102947,#b1a7b1,#a9a9a9,#9a8483,#808080,#73615f,#696969,,,,,css3,http://images.collection.cooperhewitt.org/59_2e052017d714815c_z.jpg
18104735,#3c4656,#2f4f4f,#5e707f,#696969,#928b95,#778899,#6c666b,#696969,#141c2f,#000000,css3,http://images.collection.cooperhewitt.org/60_069fb36037656eec_z.jpg
18104185,#947e6e,#808080,#ceb1a0,#d2b48c,#232d4d,#2f4f4f,#454a60,#2f4f4f,#a19794,#bc8f8f,css3,http://images.collection.cooperhewitt.org/61_414c03ec85852574_z.jpg
18105197,#958771,#808080,#786554,#696969,#58483e,#556b2f,,,,,css3,http://images.collection.cooperhewitt.org/69_dd5720d5b9394072_z.jpg
18105053,#a99284,#bc8f8f,#7c6762,#696969,#563940,#2f4f4f,,,,,css3,http://images.collection.cooperhewitt.org/73_5f7aed8ef4db8735_z.jpg
18105085,#88826f,#808080,#715c4e,#696969,#514b45,#2f4f4f,#937464,#808080,,,css3,http://images.collection.cooperhewitt.org/74_604ce9be4303cc0f_z.jpg
18126051,#b99190,#bc8f8f,#92675f,#696969,#62393a,#556b2f,#3c232a,#2f4f4f,,,css3,http://images.collection.cooperhewitt.org/120_8d91a9f0e058c6da_z.jpg
