id,ldm:id,ldm:status,ldm:name,ldm:lastmod,freebase:id,freebase:status,freebase:name,freebase:lastmod,ulan:id,ulan:status,ulan:name,ulan:lastmod,ima:id,ima:status,ima:name,ima:lastmod,lcnaf:id,lcnaf:status,lcnaf:name,lcnaf:lastmod,moma:id,moma:status,moma:name,moma:lastmod,phm:id,phm:status,phm:name,phm:lastmod,tms:id,tms:status,tms:name,tms:lastmod,vanda:id,vanda:status,vanda:name,vanda:lastmod,viaf:id,viaf:status,viaf:name,viaf:lastmod,wikipedia:id,wikipedia:status,wikipedia:name,wikipedia:lastmod,ideo:id,ideo:status,ideo:name,ideo:lastmod
18040915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,"Mrs. Christian H. Aall",,,,,,,,,,,2,,2012-12-28T20:42:32Z,,,,
18041085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4,"Mr. Justin G. Schiller",,,,,,,,,,,2,,2012-12-28T20:42:42Z,,,,
18042743,,0,,2013-02-12T17:46:13Z,/m/0383hl,1,,2012-12-28T20:44:20Z,,,,,,,,,,,,,1784,1,"Alexandra Exter",2012-12-28T23:18:06Z,,,,,1000,4,"Alexandra Exter",,4432,1,Exter,2012-12-28T23:18:06Z,65651276,1,,2012-12-28T20:44:20Z,749755,1,"Aleksandra Ekster",2012-12-28T20:44:20Z,,,,
18054935,,0,,2013-02-12T18:10:07Z,/m/09f2j,1,,2012-12-27T22:36:39Z,,,,,,,,,,,,,,,,,79911,1,,2012-12-27T22:36:39Z,10000,4,UCLA,,,,,,,,,,37765,1,"University of California, Los Angeles",2012-12-28T23:18:06Z,,,,
18054937,,0,,2013-02-12T18:10:14Z,/m/026qk8b,1,,2012-12-27T22:36:39Z,,,,,,,,,,,,,,,,,,,,,10001,4,"Yale University School of Art",,,,,,,,,,8075461,1,"Yale School of Art",2012-12-28T23:18:07Z,,,,
18054939,,0,,2013-02-12T18:10:10Z,/m/04641z1,1,,2012-12-27T22:36:39Z,,,,,,,,,,,,,8575,1,"Herbert Krenchel",2012-12-28T23:18:07Z,,,,,10002,4,"Herbert Krenchel",,,,,,,,,,17575706,1,"Herbert Krenchel",2012-12-28T23:18:07Z,,,,
18054941,,,,,/m/0464tkw,1,,2012-12-28T20:58:49Z,,,,,,,,,,,,,,,,,,,,,10003,4,"Hildo Krop",,,,,,,,,,17616766,1,"Hildo Krop",2012-12-28T20:58:49Z,,,,
18054943,,2,,2013-02-12T18:10:08Z,,,,,,,,,,,,,,,,,,,,,,,,,10004,4,"Charles Dagommer",,,,,,,,,,,2,,2012-12-28T20:58:49Z,,,,
18054945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10005,4,Kurlyukov,,,,,,,,,,,2,,2012-12-28T20:58:49Z,,,,
18054947,,0,,2013-02-12T18:10:10Z,,,,,,,,,,,,,,,,,,,,,,,,,10006,4,"Fritz Hansen Inc., Denmark",,,,,,,,,,,2,,2012-12-28T20:58:49Z,,,,
18054949,,0,,2013-02-12T18:10:09Z,/m/08815,1,,2012-12-27T22:36:40Z,,,,,,,,,,,,,,,,,,,,,10007,4,"Yale University",,,,,,,,,,34273,1,"Yale University",2012-12-28T23:18:07Z,,,,
18054953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10009,4,Lacoste,,33488,1,,2012-12-28T20:58:50Z,,,,,1658660,1,Lacoste,2012-12-28T20:58:50Z,,,,
18042745,,0,,2013-02-12T17:46:14Z,,,,,,,,,,,,,,,,,,,,,,,,,1001,4,"Masahiro Chatani",,4114,1,"Chatani, Masahiro",2012-12-28T23:18:07Z,164489274,1,,2012-12-27T22:19:45Z,,,,,,,,
18054967,,0,,2013-02-12T18:10:12Z,,,,,,,,,,,,,,,,,,,,,,,,,10016,4,"Didier Lamache",,,,,,,,,,,2,,2012-12-28T20:58:51Z,,,,
18054969,,0,,2013-02-12T18:10:07Z,,,,,,,,,,,,,,,,,,,,,,,,,10017,4,Megalit,,,,,,,,,,332248,1,Megalith,2012-12-28T20:58:51Z,,,,
18054973,,0,,2013-02-12T18:10:11Z,,,,,,,,,,,,,,,,,,,,,,,,,10019,4,"La Maison Nicolas",,,,,,,,,,,2,,2012-12-28T20:58:51Z,,,,
18042747,,0,,2013-02-12T17:46:17Z,,,,,,,,,,,,,,,,,,,,,,,,,1002,4,"Takenobu Igarashi (Japanese, b. 1944)",,,,,,,,,,,2,,2012-12-28T20:44:20Z,,,,
18054977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10021,4,Lamy,,,,,,,,,,4214462,1,Lamy,2012-12-28T20:58:51Z,,,,
18054979,,0,,2013-02-12T18:10:13Z,,,,,,,,,,,,,,,,,,,,,,,,,10022,4,"Roger Sprunger",,,,,,,,,,,2,,2012-12-28T20:58:52Z,,,,
18054983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10024,4,"Geert Lap",,,,,,,,,,,2,,2012-12-28T20:58:52Z,,,,
18054987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10026,4,"Laukamo Corporation",,,,,,,,,,,2,,2012-12-28T20:58:52Z,,,,
18054991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10028,4,Leadworks,,,,,,,,,,,2,,2012-12-28T20:58:53Z,,,,
18054993,,,,,/m/02q6kvn,1,,2012-12-28T20:58:53Z,,,,,,,,,,,,,,,,,,,,,10029,4,"Los Angeles Forum for Architecture and Urban Design",,,,,,,,,,10253692,1,"Los Angeles Forum for Architecture and Urban Design",2012-12-28T20:58:53Z,,,,
18042749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,4,"Mayflower Packaging Co. Inc.",,,,,,,,,,,2,,2012-12-28T20:44:20Z,,,,
18054995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10030,4,"Art Matters",,,,,,,,,,,2,,2012-12-28T20:58:53Z,,,,
18054997,,,,,,,,,,,,,,,,,,,,,2714,1,,2012-12-28T20:58:53Z,,,,,10031,4,"Jenny Holzer",,13847,1,,2012-12-28T20:58:53Z,,,,,933512,1,"Jenny Holzer",2012-12-28T20:58:53Z,,,,
18054999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10032,4,"Etienne Leperlier",,,,,,,,,,,2,,2012-12-28T20:58:53Z,,,,
18055001,,,,,/m/04f6j1h,1,,2012-12-28T20:58:53Z,,,,,,,,,,,,,,,,,,,,,10033,4,"Agathon Léonard",,,,,,,,,,18429083,1,"Agathon Léonard",2012-12-28T20:58:53Z,,,,
18055003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10035,4,"Arthur Georgy",,,,,,,,,,,2,,2012-12-28T20:58:53Z,,,,
18055005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10036,4,"Garance Export, Inc.",,,,,,,,,,,2,,2012-12-28T20:58:54Z,,,,
18055007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10037,4,"John Adler",,,,,,,,,,1641878,1,"John Adler",2012-12-28T20:58:54Z,,,,
18055009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10039,4,"Virgil Marti",,12698,1,"Marti, Virgil",2012-12-28T23:18:08Z,96584989,1,,2012-12-27T22:36:46Z,,,,,,,,
18055011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10040,4,"American Center Studio",,,,,,,,,,,2,,2012-12-28T20:58:54Z,,,,
18055013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10041,4,"Gilles Demarteau",,12925,1,"Demarteau, Gilles",2012-12-28T23:18:08Z,27970095,1,,2012-12-27T22:36:46Z,,,,,,,,
18055019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10044,4,"Louis-Marin Bonnet",,,,,,,,,,,,,,,,,
18055021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10045,4,"Peter Kaspar",,,,,,,,,,,2,,2012-12-28T20:58:55Z,,,,
18055025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10047,4,Lightolier,,,,,,,,,,3621658,1,Lightolier,2012-12-28T20:58:55Z,,,,
18055027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10048,4,"Bengt Liljedahl",,,,,,,,,,,2,,2012-12-28T20:58:55Z,,,,
18055029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10049,4,"Estate of Carl M. Loeb",,,,,,,,,,,2,,2012-12-28T20:58:55Z,,,,
18042751,,3,,2013-02-12T17:46:20Z,,,,,,,,,,,,,,,,,,,,,,,,,1005,4,"David Au",,13266,1,"Moore, D",2012-12-28T23:18:09Z,50134065,1,,2012-12-27T22:19:45Z,11892999,1,,2012-12-27T22:19:45Z,,,,
18055031,,,,,/m/042x1n,1,,2012-12-27T22:36:48Z,,,,,,,,,,,,,,,,,,,,,10050,4,Cummins,,,,,,,,,,1064863,1,Cummins,2012-12-28T23:18:09Z,,,,
18055033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10051,4,"Gary Laredo",,,,,,,,,,,2,,2012-12-28T20:58:56Z,,,,
18055035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10052,4,"Don Albinson",,,,,,,,,,,2,,2012-12-28T20:58:56Z,,,,
18055037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10053,4,"Hilaire Hiler",,,,,,,,,,,2,,2012-12-28T20:58:56Z,,,,
18055039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10054,4,"Cynthia Pugh Littlejohn",,,,,,,,,,,2,,2012-12-28T20:58:57Z,,,,
18055041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10055,4,"Tom Loeser",,,,,,,,,,,2,,2012-12-28T20:58:57Z,,,,
18055043,,,,,/m/02hp6p,1,,2012-12-27T22:36:49Z,,,,,,,,,,,,,,,,,,,,,10056,4,"University of Hartford",,,,,,,,,,498528,1,"University of Hartford",2012-12-28T23:18:09Z,,,,
