Jack Lenor Larsen,18040903,92026416,22528480
Danese Milano,18040907,0,0
Tucker Viemeister,18040933,6993974,18765167
"KOCH + LOWY, INC.",18040941,0,0
Sue Palmer,18040947,0,0
Michele Oka Doner,18040949,96135481,0
Design House Awa,18040955,0,0
Marian Clayden,18040965,0,0
Warner Fabrics,18040977,0,0
Thomas Hucker,18040981,0,0
NEOTU,18040983,0,0
Dakota Jackson,18040989,172910389,0
ZONA ALTA PROJECTS,18040991,0,0
ELIKA,18040997,0,0
Robert Wilhite,18041015,0,0
"CYRUS CLARK CO., INC.",18041017,0,0
Ploegstoffen,18041019,0,0
Vladimir Kagan,18041023,0,0
Hiroshi Awatsuji,18041025,0,0
Henry Dreyfuss Associates,18041029,0,0
Mr. Kenneth Kneitel,18041047,0,0
COOGI AUSTRALIA,18041053,0,0
Constantin Boym,18041071,158187759,0
The Pasanella Company,18041073,0,0
Donald Cameron,18041077,0,0
Création Baumann AG,18041081,0,0
Per Arnoldi,18041127,119519384,14989908
"Gerald Gulotta (American, b. 1921)",18041133,0,0
Ikko Tanaka,18041173,108651084,13375570
Mr. Michael Grove,18041189,0,0
Shin Matsunaga,18041215,0,0
Richard Arbib,18041253,0,0
Lisa Krohn,18041279,0,0
Ms. Ivy Ross,18041281,0,0
Benjamin E. Nicholson,18041295,0,0
"TWO TWELVE ASSOCIATES, INC.",18041311,0,0
RIGHT ANGLE INTERIORS,18041313,0,0
Maya Romanoff,18041321,0,0
Dan Friedman,18041325,0,0
Aldo Rossi,18041345,100223891,45534
TAILIO DESIGN OY,18041369,0,0
Michael A. Cousins,18041387,0,0
John Bruce,18041393,0,0
Jack Hokanson,18041399,0,0
Armand G. Winfield,18041403,0,0
Knoll Textiles,18041409,0,0
SACHO HESSLEIN,18041415,0,0
ITALIANA LUCE/IL USA INC.,18041433,0,0
Katherine Krizek,18041435,95961277,0
Dieter Rams,18041437,265911035,0
Mr. Corbett L. Jones,18041441,0,0
Marianne Strengell,18041443,41784149,0
Mr. Zack Peabody,18041449,0,0
SITE,18041455,0,0
"African Home, Inc.",18041479,0,0
NORSK STALPRESS,18041493,0,0
Henry Dreyfuss,18041501,8198939,1697559
Eva Eisler,18041503,84157808,0
"DETAILS, a member of the Steelcase Design Partnership",18041505,0,0
"Honeywell, Inc.",18041507,0,0
Tibor Kalman,18041523,76489917,563788
Belle Kogan,18041543,0,0
Neil Bottle,18041559,0,0
Remington Products Co.,18041589,0,0
"ICF, Inc.",18041593,0,0
Ms. Barbara Glauber,18041619,0,0
Ms. Louise Fili,18041621,0,0
Edward Fella,18041625,0,0
Warren  A. James,18041651,0,0
frogdesign inc.,18041671,0,0
Fitch Inc.,18041673,0,0
Rick Valicenti,18041675,0,0
Raphael Kalkstein,18041677,0,0
Art Chantry,18041683,0,0
Royal Copenhagen Porcelain Manufactory,18041709,128028064,0
Florville Design,18041711,0,0
GVO Inc.,18041723,0,0
Natalie Du Pasquier,18041739,0,0
Independent Project Press,18041741,0,0
The Museum at The Fashion Institute of Technology,18041743,0,0
Anthony Duquette,18041759,0,0
ECCO Design Inc.,18041763,0,0
DORNIER,18041777,0,0
AEG Mobile Communications GmbH,18041783,0,0
