biography,biography_50_characters,biography_75_words,count_objects,date,freebase:id,id,ideo:id,ima:id,lcnaf:id,ldm:id,moma:id,name,phm:id,superseded_by,supersedes,tms:id,ulan:id,url,vanda:id,viaf:id,walker:id,wikipedia:id,woe:country,woe:country_id
,,,3,"Australian, active USA, b. 1953",,69099631,,,,,,Rachael Romero,,0,0,,,https://collection.cooperhewitt.org/people/69099631/,,,,,23424748,23424748
,,,1,USA,,35518621,,,,,,Loral Data Systems,,0,0,,,https://collection.cooperhewitt.org/people/35518621/,,,,,23424977,23424977
,,,5,1912 - 2001,,35518649,,,,,,Elsa Freund,,0,0,,,https://collection.cooperhewitt.org/people/35518649/,,,,,23424977,23424977
,,,1,"(American, n.d.)",,35518613,,,,,,John Graham,,0,0,,,https://collection.cooperhewitt.org/people/35518613/,,,,,23424977,23424977
,,,1,,,35518629,,,,,,Arthur H. Payson,,0,0,,,https://collection.cooperhewitt.org/people/35518629/,,,,,23424977,23424977
"Byung-Hoon Choi is a pioneer of sculptural art furniture design in his native Korea.  Choi strives to create works of design that transcend the traditional boundaries of functionality, while simultaneously evoking Korean cultural symbols.  He was one of several artist/designers who promoted a modern approach to traditional Korean furniture in the second half of the 20th century.  Choi often uses seemingly contradictory shapes or materials in a single design, but he employs stone, a signature element, to establish a unity and tranquility within each work.  His designs are often derived from nature, incorporating the natural world through both material and form.  His work is included in the collections of a number of institutions in South Korea, including the National Museum of Contemporary Art, Seoul and the Seoul Metropolitan Museum of Art, as well as in the Vitra Design Museum, Weil am Rhein, Germany.",,,1,"Korean, b. 1952",,35518607,,,,,,Byung-Hoon Choi,,0,0,,,https://collection.cooperhewitt.org/people/35518607/,,,,,,
"Born in Long Beach, California, metalworker Forrest Myers studied at the San Francisco Art Institute, where he was inspired by the wire sculpture of Alexander Calder as well as the jazz of Ornette Coleman. In 1961, he moved to New York and joined a number of innovative artists and sculptors (all graduates of the San Francisco Art Institute), including Mark di Suvero, Robert Grosvenor, Ed Ruda, and others, in forming the artists’ cooperative The Park Place Gallery. When Park Place disbanded in 1967, Myers showed his work at the newly formed Paula Cooper Gallery. In 1968, he became a member of Experiments in Art and Technology (E.A.T.), a group founded as a laboratory for creative experimentation by the engineers Fred Waldhauer and Billy Kluver with artists Robert Rauschenberg and Robert Witman. Myers was among four members of E.A.T. commissioned to design the Pepsi Cola Pavilion and program at Expo 70 in Osaka, Japan, considered among the most important and influential installations to combine art and technology of the 20th century.  Myers’ most famous work is The Wall, commissioned in 1973 by the public art organization, City Walls (now known as Public Art Fund). The 75 x 100 foot teal blue-painted wall, with projecting green-painted aluminum beams set in a grid pattern, was mounted on the corner of Houston Street and Broadway and became a SoHo icon. Forrest Myers’ sculptures are in the collections of the Art Institute of Chicago, the Dallas Museum of Fine Arts, the Storm King Art Center, and the Virginia Museum of Art.",,,18,"American, b. 1941",,35518601,,,,,,Forrest Myers,,0,0,,,https://collection.cooperhewitt.org/people/35518601/,,,,,23424977,23424977
"French Architect/designer, Marc Berthier, was born in 1935. Designing wall systems and furniture in France since the mid-1960s, in 1979 he designed folding furniture for Italian manufacturer Magis, lighting for Holight and furniture for Knoll. Since the mid-1990s he has also designed appliances, tableware and consumer electronics, such as the Tykho radio for Lexon. Also an educator, he was a tutor at the École Nationale Supérieure de Création Industrielle, Paris. Berthier is currently associated with the Elium design studio. His work is in the collections of The Museum of Modern Art, New York, and Centre Georg Pompidou, Paris.

http://www.lexon-design.com/designers/marc-berthier.html
http://www.marc-berthier.com
http://www.eliumstudio.com/",,,1,"French, born 1935",,35518637,,,,,,Marc Berthier,,0,0,,,https://collection.cooperhewitt.org/people/35518637/,,,,,23424819,23424819
,,,1,,,35518631,,,,,,Charles O. Duevel Jr.,,0,0,,,https://collection.cooperhewitt.org/people/35518631/,,,,,23424977,23424977
,,,1,"American, 1871 - 1956",,35518639,,,,,,Lyonel Charles Feininger,,0,0,,,https://collection.cooperhewitt.org/people/35518639/,,,,,23424977,23424977
