person_id,person_name,id,name,count_objects
18040903,Jack Lenor Larsen,35236655,Designer,5
18040903,Jack Lenor Larsen,35236671,Producer,1
18040907,Danese Milano,35236657,Manufacturer,11
18040933,Tucker Viemeister,35236655,Designer,12
18040933,Tucker Viemeister,35236801,Design Team member,6
18040933,Tucker Viemeister,35236733,Co-Designer,1
18040941,"KOCH + LOWY, INC.",35236659,Distributor,2
18040947,Sue Palmer,35236655,Designer,7
18040949,Michele Oka Doner,35236655,Designer,10
18040949,Michele Oka Doner,35236685,Maker,1
18040955,Design House Awa,35236657,Manufacturer,2
18040955,Design House Awa,35236671,Producer,1
18040965,Marian Clayden,35236685,Maker,3
18040965,Marian Clayden,35236655,Designer,2
18040965,Marian Clayden,35236565,Artist,1
18040977,Warner Fabrics,35236681,Company,28
18040977,Warner Fabrics,35236675,For,1
18040977,Warner Fabrics,35236657,Manufacturer,1
18040981,Thomas Hucker,35236655,Designer,1
18040983,NEOTU,35236675,For,4
18040983,NEOTU,35236671,Producer,2
18040983,NEOTU,35236657,Manufacturer,1
18040989,Dakota Jackson,35236655,Designer,1
18040991,ZONA ALTA PROJECTS,35236659,Distributor,1
18040997,ELIKA,35236671,Producer,2
18041015,Robert Wilhite,35236655,Designer,10
18041017,"CYRUS CLARK CO., INC.",35236671,Producer,4
18041017,"CYRUS CLARK CO., INC.",35236681,Company,4
18041017,"CYRUS CLARK CO., INC.",35236685,Maker,2
18041019,Ploegstoffen,35236671,Producer,7
18041023,Vladimir Kagan,35236655,Designer,13
18041023,Vladimir Kagan,35236565,Artist,13
18041025,Hiroshi Awatsuji,35236655,Designer,3
18041029,Henry Dreyfuss Associates,35236655,Designer,48
18041029,Henry Dreyfuss Associates,35236565,Artist,31
18041029,Henry Dreyfuss Associates,35236703,Office of,3
18041029,Henry Dreyfuss Associates,35236797,Firm,2
18041029,Henry Dreyfuss Associates,35236657,Manufacturer,1
18041047,Mr. Kenneth Kneitel,35236655,Designer,6
18041053,COOGI AUSTRALIA,35236681,Company,1
18041053,COOGI AUSTRALIA,35236671,Producer,1
18041071,Constantin Boym,35236655,Designer,4
18041073,The Pasanella Company,35236671,Producer,4
18041073,The Pasanella Company,35236685,Maker,3
18041073,The Pasanella Company,35236655,Designer,1
18041077,Donald Cameron,35351535,Donor,1
18041081,,35236657,Manufacturer,2
18041081,,35236671,Producer,2
18041081,,35236685,Maker,1
18041081,,35236681,Company,1
18041081,,35236565,Artist,1
18041127,Per Arnoldi,35236655,Designer,1
18041133,"Gerald Gulotta (American, b. 1921)",35236655,Designer,100
18041133,"Gerald Gulotta (American, b. 1921)",35236565,Artist,2
18041173,Ikko Tanaka,35236655,Designer,2
18041189,Mr. Michael Grove,35236685,Maker,2
