count_objects,id,name,superseded_by,supersedes,url
1,35435531,Late Twentirth Century,0,[],http://collection.cooperhewitt.org/periods/35435531/
28,35435521,Jugendstil/Art Deco,0,[],http://collection.cooperhewitt.org/periods/35435521/
1,35435503,Late Twentieth Centure,0,[],http://collection.cooperhewitt.org/periods/35435503/
35,35435527,Postmodern,0,[],http://collection.cooperhewitt.org/periods/35435527/
1,35435525,Jugendstil,0,[],http://collection.cooperhewitt.org/periods/35435525/
1,35435513,Spanish Civil War,0,[],http://collection.cooperhewitt.org/periods/35435513/
1,35435535,1900 -1920,0,[],http://collection.cooperhewitt.org/periods/35435535/
1,35435455,American Mirror,0,[],http://collection.cooperhewitt.org/periods/35435455/
1,35435459,American  Modern,0,[],http://collection.cooperhewitt.org/periods/35435459/
52,35435483,Mid 20th century,0,[],http://collection.cooperhewitt.org/periods/35435483/
1,35435463,AmericanModern,0,[],http://collection.cooperhewitt.org/periods/35435463/
16,35435431,Mid Twentieth Century,0,[],http://collection.cooperhewitt.org/periods/35435431/
1,35435449,American Moern,0,[],http://collection.cooperhewitt.org/periods/35435449/
1,35435433,18th-19th Century,0,[],http://collection.cooperhewitt.org/periods/35435433/
1,35435489,`,0,[],http://collection.cooperhewitt.org/periods/35435489/
1,35435487,Mid to late 20th century,0,[],http://collection.cooperhewitt.org/periods/35435487/
1,35435481,Late 14th century,0,[],http://collection.cooperhewitt.org/periods/35435481/
3,35435473,Art Moderne,35417235,[],http://collection.cooperhewitt.org/periods/35435473/
40,35435427,Psychedelic Movement,35435941,[],http://collection.cooperhewitt.org/periods/35435427/
1,35435415,Post Modern,35435527,[],http://collection.cooperhewitt.org/periods/35435415/
141,35435429,postwar,0,[],http://collection.cooperhewitt.org/periods/35435429/
1,35435417,Art Decp,35417235,[],http://collection.cooperhewitt.org/periods/35435417/
20,35435445,Post-Modern,35435527,[],http://collection.cooperhewitt.org/periods/35435445/
1,35435465,mid 18th century,0,[],http://collection.cooperhewitt.org/periods/35435465/
1,35435405,mid-19th C,0,[],http://collection.cooperhewitt.org/periods/35435405/
5,35435407,nd,0,[],http://collection.cooperhewitt.org/periods/35435407/
1,35435497,Late Twentieth  Century,0,[],http://collection.cooperhewitt.org/periods/35435497/
1,35435479,Post-war,35435429,[],http://collection.cooperhewitt.org/periods/35435479/
3,35435477,Japonisme,0,[],http://collection.cooperhewitt.org/periods/35435477/
2,35435447,Eighteenth Century,0,[],http://collection.cooperhewitt.org/periods/35435447/
2,35435451,Aerican Modern,35435409,[],http://collection.cooperhewitt.org/periods/35435451/
7,35435471,Romantic,0,[],http://collection.cooperhewitt.org/periods/35435471/
3,35435485,Early to Mid 20th century,0,[],http://collection.cooperhewitt.org/periods/35435485/
1,35435495,Antwerp Mannerism,0,[],http://collection.cooperhewitt.org/periods/35435495/
4,35435401,pre-conquest,0,[],http://collection.cooperhewitt.org/periods/35435401/
1,35435413,Late 18th to early 19th century,0,[],http://collection.cooperhewitt.org/periods/35435413/
659,35435423,Late Twentieth Century,0,[],http://collection.cooperhewitt.org/periods/35435423/
2,35435453,Ameerican Modern,35435409,[],http://collection.cooperhewitt.org/periods/35435453/
1,35435469,Weiner Werkstatte,0,[],http://collection.cooperhewitt.org/periods/35435469/
71,35435411,see curatorial remarks,0,[],http://collection.cooperhewitt.org/periods/35435411/
1,35435461,Post WW II,35417393,[],http://collection.cooperhewitt.org/periods/35435461/
2,35435499,Symbolist,0,[],http://collection.cooperhewitt.org/periods/35435499/
534,35435409,American Modern,0,[],http://collection.cooperhewitt.org/periods/35435409/
42,35435941,Psychedelic,0,[],http://collection.cooperhewitt.org/periods/35435941/
2,35435921,Modernist,0,[],http://collection.cooperhewitt.org/periods/35435921/
1,35435903,First half of 19th century,0,[],http://collection.cooperhewitt.org/periods/35435903/
9,35435927,Late Modern,0,[],http://collection.cooperhewitt.org/periods/35435927/
3,35435915,Early Twenty First Century,0,[],http://collection.cooperhewitt.org/periods/35435915/
1,35435945,Mid-Century Modern,35459619,[],http://collection.cooperhewitt.org/periods/35435945/
1,35435919,Early Tweny-First Century,0,[],http://collection.cooperhewitt.org/periods/35435919/
1,35435905,Late Neoclassical,0,[],http://collection.cooperhewitt.org/periods/35435905/
4,35435939,New Wave,0,[],http://collection.cooperhewitt.org/periods/35435939/
1,35435901,Late 18th - early 19th century,0,[],http://collection.cooperhewitt.org/periods/35435901/
21,35435913,Early Twenty-first Century,0,[],http://collection.cooperhewitt.org/periods/35435913/
6,35435937,Pop,0,[],http://collection.cooperhewitt.org/periods/35435937/
2,35435935,Twenty-first Century,0,[],http://collection.cooperhewitt.org/periods/35435935/
3,35435909,Twenty First Century,0,[],http://collection.cooperhewitt.org/periods/35435909/
2,35459629,Streamlined Moderne,0,[],http://collection.cooperhewitt.org/periods/35459629/
1,35459617,late Tokugawa,0,[],http://collection.cooperhewitt.org/periods/35459617/
3,35459619,Mid-Century Modernist,0,[],http://collection.cooperhewitt.org/periods/35459619/
2,35459623,Post-Impressionist,0,[],http://collection.cooperhewitt.org/periods/35459623/
1,35459611,Huari,0,[],http://collection.cooperhewitt.org/periods/35459611/
5,35459609,historicism,0,[],http://collection.cooperhewitt.org/periods/35459609/
5,35417255,Second Empire,0,[],http://collection.cooperhewitt.org/periods/35417255/
1,35417283,Late Tokugawa Period,35459617,[],http://collection.cooperhewitt.org/periods/35417283/
1,35417275,17th century,0,[],http://collection.cooperhewitt.org/periods/35417275/
1,35417263,Late 17th century - early 18th century,0,[],http://collection.cooperhewitt.org/periods/35417263/
18,35417231,Art Nouveau,0,[],http://collection.cooperhewitt.org/periods/35417231/
1,35417257,Early 20th-century,0,[],http://collection.cooperhewitt.org/periods/35417257/
94,35417249,First half 20th century,0,[],http://collection.cooperhewitt.org/periods/35417249/
42,35417233,post-Civil War,0,[],http://collection.cooperhewitt.org/periods/35417233/
1,35417289,19th-20th Centuries,0,[],http://collection.cooperhewitt.org/periods/35417289/
3,35417287,Late Nineteenth-Century,0,[],http://collection.cooperhewitt.org/periods/35417287/
6,35417281,Aesthetic Movement,0,[],http://collection.cooperhewitt.org/periods/35417281/
3,35417267,Late 16th century,0,[],http://collection.cooperhewitt.org/periods/35417267/
1,35417273,Late 17th to early 18th century,0,[],http://collection.cooperhewitt.org/periods/35417273/
11,35417203,Directoire,0,[],http://collection.cooperhewitt.org/periods/35417203/
83,35417293,First half 19th century,0,[],http://collection.cooperhewitt.org/periods/35417293/
2,35417227,Mid-17th century,0,[],http://collection.cooperhewitt.org/periods/35417227/
1,35417215,Mid- 19th century,0,[],http://collection.cooperhewitt.org/periods/35417215/
13,35417229,Louis XIV,0,[],http://collection.cooperhewitt.org/periods/35417229/
4,35417265,Mannerist,0,[],http://collection.cooperhewitt.org/periods/35417265/
1,35417219,Ch'ing Dynasty; Ch'ien Lung Period,0,[],http://collection.cooperhewitt.org/periods/35417219/
5,35417207,18th century,0,[],http://collection.cooperhewitt.org/periods/35417207/
290,35417297,Early Twentieth Century,0,[],http://collection.cooperhewitt.org/periods/35417297/
2,35417279,Late Rococo,0,[],http://collection.cooperhewitt.org/periods/35417279/
7,35417247,High Victorian,0,[],http://collection.cooperhewitt.org/periods/35417247/
84,35417251,Modern,0,[],http://collection.cooperhewitt.org/periods/35417251/
1,35417271,17th to 18th Century,0,[],http://collection.cooperhewitt.org/periods/35417271/
2,35417285,Late Ninteenth Century,0,[],http://collection.cooperhewitt.org/periods/35417285/
1,35417201,Mid- Seventeenth Century,0,[],http://collection.cooperhewitt.org/periods/35417201/
2,35417213,Pope Clement XIII,0,[],http://collection.cooperhewitt.org/periods/35417213/
2,35417253,Streamline Modern,35459629,[],http://collection.cooperhewitt.org/periods/35417253/
270,35417235,Art Deco,0,[],http://collection.cooperhewitt.org/periods/35417235/
8,35417291,Biedermeier,0,[],http://collection.cooperhewitt.org/periods/35417291/
34,35417269,Victorian,0,[],http://collection.cooperhewitt.org/periods/35417269/
6,35417211,William and Mary,0,[],http://collection.cooperhewitt.org/periods/35417211/
1,35417261,Late 17th - early 18th centuries,0,[],http://collection.cooperhewitt.org/periods/35417261/
1,35417299,Twentieth Century,0,[],http://collection.cooperhewitt.org/periods/35417299/
2,35417209,Italian Late Renaissance,0,[],http://collection.cooperhewitt.org/periods/35417209/
17,35435883,Early 21st century,0,[],http://collection.cooperhewitt.org/periods/35435883/
2,35435865,Mid-late 20th Century,0,[],http://collection.cooperhewitt.org/periods/35435865/
17,35435877,Contemporary,0,[],http://collection.cooperhewitt.org/periods/35435877/
1,35435885,Jungendstil,35435525,[],http://collection.cooperhewitt.org/periods/35435885/
1,35435895,Late Ninettenth Century,0,[],http://collection.cooperhewitt.org/periods/35435895/
1,35435899,"Charles X, Restoration",0,[],http://collection.cooperhewitt.org/periods/35435899/
2,35417155,Late 19th - Early 20th Centuries,0,[],http://collection.cooperhewitt.org/periods/35417155/
1,35417159,Late Eighteenth Century,0,[],http://collection.cooperhewitt.org/periods/35417159/
119,35417141,Civil War,0,[],http://collection.cooperhewitt.org/periods/35417141/
5,35417183,American,0,[],http://collection.cooperhewitt.org/periods/35417183/
1088,35417175,Hudson River School,0,[],http://collection.cooperhewitt.org/periods/35417175/
6,35417163,19th century,0,[],http://collection.cooperhewitt.org/periods/35417163/
1,35417131,Early  18th Century,0,[],http://collection.cooperhewitt.org/periods/35417131/
2,35417157,Late 19th  Century,0,[],http://collection.cooperhewitt.org/periods/35417157/
6,35417149,Late19th Century,0,[],http://collection.cooperhewitt.org/periods/35417149/
1,35417189,Hudson River Shcool,35417175,[],http://collection.cooperhewitt.org/periods/35417189/
1,35417181,Hudon River School,35417175,[],http://collection.cooperhewitt.org/periods/35417181/
1421,35417121,Early 20th century,0,[],http://collection.cooperhewitt.org/periods/35417121/
1,35417167,Post Civil- War,35417233,[],http://collection.cooperhewitt.org/periods/35417167/
1,35417173,"Tao Kuang period, Ch'ing Dynasty",0,[],http://collection.cooperhewitt.org/periods/35417173/
1,35417103,Italian Renaissance,0,[],http://collection.cooperhewitt.org/periods/35417103/
63,35417193,20th Century,0,[],http://collection.cooperhewitt.org/periods/35417193/
10,35417127,Late 17th century,0,[],http://collection.cooperhewitt.org/periods/35417127/
2,35417129,Late Baroque,0,[],http://collection.cooperhewitt.org/periods/35417129/
2,35417117,Renaissance Revival,0,[],http://collection.cooperhewitt.org/periods/35417117/
1,35417145,Cvil War,35417141,[],http://collection.cooperhewitt.org/periods/35417145/
3,35417125,First half 16th century,0,[],http://collection.cooperhewitt.org/periods/35417125/
1,35417165,Late 19th Ccentury,0,[],http://collection.cooperhewitt.org/periods/35417165/
5,35417119,Louis XVI,0,[],http://collection.cooperhewitt.org/periods/35417119/
4,35417105,16th Century,0,[],http://collection.cooperhewitt.org/periods/35417105/
2,35417107,Mannerism,35417265,[],http://collection.cooperhewitt.org/periods/35417107/
3,35417197,Roman,0,[],http://collection.cooperhewitt.org/periods/35417197/
6,35417139,Mid-Eighteenth Century,0,[],http://collection.cooperhewitt.org/periods/35417139/
1,35417143,Civil  War,0,[],http://collection.cooperhewitt.org/periods/35417143/
1,35417179,pre-Civil War,0,[],http://collection.cooperhewitt.org/periods/35417179/
9,35417177,Nineteenth Century,0,[],http://collection.cooperhewitt.org/periods/35417177/
1,35417147,Civl War,35417141,[],http://collection.cooperhewitt.org/periods/35417147/
60,35417185,Mid-Nineteenth Century,0,[],http://collection.cooperhewitt.org/periods/35417185/
914,35417101,Rococo,0,[],http://collection.cooperhewitt.org/periods/35417101/
16,35417113,Neapolitan,0,[],http://collection.cooperhewitt.org/periods/35417113/
2,35417137,Early Nineteenth Century,0,[],http://collection.cooperhewitt.org/periods/35417137/
8,35417123,Second half 19th Century,0,[],http://collection.cooperhewitt.org/periods/35417123/
28,35417153,Mid 19th Century,0,[],http://collection.cooperhewitt.org/periods/35417153/
6,35417135,Second half 18th century,0,[],http://collection.cooperhewitt.org/periods/35417135/
1,35417191,Hudson River Schoool,35417175,[],http://collection.cooperhewitt.org/periods/35417191/
1,35417111,Late Sixteenth Century,0,[],http://collection.cooperhewitt.org/periods/35417111/
1,35417199,Italian Baroque,0,[],http://collection.cooperhewitt.org/periods/35417199/
1,35417109,late Baroque/Rococo,0,[],http://collection.cooperhewitt.org/periods/35417109/
1,35435389,Renaisance,35417073,[],http://collection.cooperhewitt.org/periods/35435389/
1,35435387,Mid to Late 18th century,0,[],http://collection.cooperhewitt.org/periods/35435387/
1,35435397,Silla Dynasty,0,[],http://collection.cooperhewitt.org/periods/35435397/
12,35435395,Second half 20th Century,0,[],http://collection.cooperhewitt.org/periods/35435395/
5,35435391,Post World War II,35417393,[],http://collection.cooperhewitt.org/periods/35435391/
1,35435399,Mid- 20th century,0,[],http://collection.cooperhewitt.org/periods/35435399/
144,35417405,Late 20th century,0,[],http://collection.cooperhewitt.org/periods/35417405/
1,35417407,Late Medieval,0,[],http://collection.cooperhewitt.org/periods/35417407/
4,35417401,Classical Revival,0,[],http://collection.cooperhewitt.org/periods/35417401/
1,35417411,Late Gothic,0,[],http://collection.cooperhewitt.org/periods/35417411/
1,35417409,Late Nineteenth Cenury,0,[],http://collection.cooperhewitt.org/periods/35417409/
7,35417055,First half 18th century,0,[],http://collection.cooperhewitt.org/periods/35417055/
4,35417059,Second half 17th century,0,[],http://collection.cooperhewitt.org/periods/35417059/
2,35417083,Northern Rennaisance,0,[],http://collection.cooperhewitt.org/periods/35417083/
101,35417075,Northern Renaissance,0,[],http://collection.cooperhewitt.org/periods/35417075/
63,35417063,Mid-19th century,0,[],http://collection.cooperhewitt.org/periods/35417063/
58,35417057,Early 19th century,0,[],http://collection.cooperhewitt.org/periods/35417057/
312,35417049,early Modern,0,[],http://collection.cooperhewitt.org/periods/35417049/
921,35417089,Neoclassical,0,[],http://collection.cooperhewitt.org/periods/35417089/
452,35417087,Late Nineteenth Century,0,[],http://collection.cooperhewitt.org/periods/35417087/
161,35417081,Baroque,0,[],http://collection.cooperhewitt.org/periods/35417081/
32,35417067,Early 18th century,0,[],http://collection.cooperhewitt.org/periods/35417067/
24,35417073,Renaissance,0,[],http://collection.cooperhewitt.org/periods/35417073/
8,35417093,Empire,0,[],http://collection.cooperhewitt.org/periods/35417093/
4,35417065,First half 17th century,0,[],http://collection.cooperhewitt.org/periods/35417065/
29,35417077,Northern Baroque,0,[],http://collection.cooperhewitt.org/periods/35417077/
56,35417051,Late 18th century,0,[],http://collection.cooperhewitt.org/periods/35417051/
366,35417071,Late 19th century,0,[],http://collection.cooperhewitt.org/periods/35417071/
39,35417085,Late Renaissance,0,[],http://collection.cooperhewitt.org/periods/35417085/
73,35417095,Neoclassicism,35417089,[],http://collection.cooperhewitt.org/periods/35417095/
3,35417053,Early 17th century,0,[],http://collection.cooperhewitt.org/periods/35417053/
33,35417091,Neo-Classical,35417089,[],http://collection.cooperhewitt.org/periods/35417091/
18,35417069,Mid-18th century,0,[],http://collection.cooperhewitt.org/periods/35417069/
1,35417099,Restoration,0,[],http://collection.cooperhewitt.org/periods/35417099/
2,35417355,Ottoman,0,[],http://collection.cooperhewitt.org/periods/35417355/
30,35417341,World War II,0,[],http://collection.cooperhewitt.org/periods/35417341/
1,35417383,Aart Deco,35417235,[],http://collection.cooperhewitt.org/periods/35417383/
5,35417375,Rococo Revival,0,[],http://collection.cooperhewitt.org/periods/35417375/
