count_objects,id,name,superseded_by,supersedes,url
1,35518949,Sarong (kain songket),0,0,http://collection.cooperhewitt.org/types/35518949/
3,35518939,Head cloth (kain kepala),0,0,http://collection.cooperhewitt.org/types/35518939/
1,35518951,Man's wrapper (hinggi),0,0,http://collection.cooperhewitt.org/types/35518951/
1,35518901,Circle,0,0,http://collection.cooperhewitt.org/types/35518901/
1,35518795,Collar samples,0,0,http://collection.cooperhewitt.org/types/35518795/
1,35520595,Jewelry suite,0,0,http://collection.cooperhewitt.org/types/35520595/
1,35520041,Expanding bookend,0,0,http://collection.cooperhewitt.org/types/35520041/
1,35519183,Sample for a window blind,0,0,http://collection.cooperhewitt.org/types/35519183/
1,35519117,Altar Set,0,0,http://collection.cooperhewitt.org/types/35519117/
1,35519303,Gauze,0,0,http://collection.cooperhewitt.org/types/35519303/
1,35519371,Robe (attush),0,0,http://collection.cooperhewitt.org/types/35519371/
1,35519353,Long sarong,0,0,http://collection.cooperhewitt.org/types/35519353/
1,35519311,Ship cloth (palepai),0,0,http://collection.cooperhewitt.org/types/35519311/
1,35519249,Shoulder cloth (selendang),0,0,http://collection.cooperhewitt.org/types/35519249/
1,35519239,Padlock and key,0,0,http://collection.cooperhewitt.org/types/35519239/
1,35519213,Ceremonial cloth (kamben geringsing),0,0,http://collection.cooperhewitt.org/types/35519213/
1,35519237,"Lock, hasp, key",0,0,http://collection.cooperhewitt.org/types/35519237/
2,35519209,Long sarong (kain panjang),0,0,http://collection.cooperhewitt.org/types/35519209/
1,35518889,"Stereograph: Group, ""Uncle Toby and Widow Madam""",0,0,http://collection.cooperhewitt.org/types/35518889/
1,35518803,Tapes,0,0,http://collection.cooperhewitt.org/types/35518803/
1,35518893,Stereograph: Lover's leap on the French Broad River,0,0,http://collection.cooperhewitt.org/types/35518893/
1,35518897,Stereograph: French Broad River,0,0,http://collection.cooperhewitt.org/types/35518897/
1,35518885,"Stereograph: Interior of Alcazar Palace, Seville, Spain",0,0,http://collection.cooperhewitt.org/types/35518885/
1,35518895,"Stereograph: View on the French Broad River, near Warm Springs",0,0,http://collection.cooperhewitt.org/types/35518895/
1,35518685,Rank badge (buzi),0,0,http://collection.cooperhewitt.org/types/35518685/
1,35520359,Model of hyperbolic space,0,0,http://collection.cooperhewitt.org/types/35520359/
1,35520311,Travel iron,0,0,http://collection.cooperhewitt.org/types/35520311/
1,35519933,see 1991-89-22-a,0,0,http://collection.cooperhewitt.org/types/35519933/
1,35519915,Cocktail shaker and stirer,0,0,http://collection.cooperhewitt.org/types/35519915/
1,35519919,Butter dish with fork,0,0,http://collection.cooperhewitt.org/types/35519919/
1,35519997,Figure of a poodle,0,0,http://collection.cooperhewitt.org/types/35519997/
1,35519923,Cocktail ball and tray,0,0,http://collection.cooperhewitt.org/types/35519923/
1,35519911,Pitcher with lid,0,0,http://collection.cooperhewitt.org/types/35519911/
1,35519909,Ice bowl and tongs,0,0,http://collection.cooperhewitt.org/types/35519909/
1,35519641,Squares,0,0,http://collection.cooperhewitt.org/types/35519641/
1,35519537,Steel display kit,0,0,http://collection.cooperhewitt.org/types/35519537/
1,35520987,Software and source code,0,0,http://collection.cooperhewitt.org/types/35520987/
3,51866125,Escape map,0,0,http://collection.cooperhewitt.org/types/51866125/
4,51866563,Stationary,0,0,http://collection.cooperhewitt.org/types/51866563/
1,51865831,Figure and Fragment,0,0,http://collection.cooperhewitt.org/types/51865831/
1,51865827,Chair seat covers,0,0,http://collection.cooperhewitt.org/types/51865827/
1,51865843,Patchwork quilt,0,0,http://collection.cooperhewitt.org/types/51865843/
1,51865581,"Insense burner, dog",0,0,http://collection.cooperhewitt.org/types/51865581/
1,51865597,Water jug,0,0,http://collection.cooperhewitt.org/types/51865597/
1,51865603,Stove parts,0,0,http://collection.cooperhewitt.org/types/51865603/
1,51865607,"stove pipes, top and bottom",0,0,http://collection.cooperhewitt.org/types/51865607/
1,51865601,Stove with cover,0,0,http://collection.cooperhewitt.org/types/51865601/
2,51865635,Border for table mat,0,0,http://collection.cooperhewitt.org/types/51865635/
1,51865783,Stole fragments,0,0,http://collection.cooperhewitt.org/types/51865783/
1,51865719,Cockade fan,0,0,http://collection.cooperhewitt.org/types/51865719/
1,35456575,Iron with accessories and box,0,0,http://collection.cooperhewitt.org/types/35456575/
1,35456599,"Textil1-439
e",0,0,http://collection.cooperhewitt.org/types/35456599/
1,35460583,Model of a Carriage,0,0,http://collection.cooperhewitt.org/types/35460583/
1,35460557,Model Birdhouse,0,0,http://collection.cooperhewitt.org/types/35460557/
1,35460543,Bird house model,0,0,http://collection.cooperhewitt.org/types/35460543/
1,35460627,Shallow Bowl,0,0,http://collection.cooperhewitt.org/types/35460627/
1,35459941,Child's kimono,0,0,http://collection.cooperhewitt.org/types/35459941/
1,35459983,Tea cloth (fukusa),0,0,http://collection.cooperhewitt.org/types/35459983/
6,35459949,Lace pattern,0,0,http://collection.cooperhewitt.org/types/35459949/
1,35459989,Unfinished handkerchief,0,0,http://collection.cooperhewitt.org/types/35459989/
1,35459987,Book of lace samples,0,0,http://collection.cooperhewitt.org/types/35459987/
2,35459905,Wood engraving. Vignette,0,0,http://collection.cooperhewitt.org/types/35459905/
1,35459997,Machine made tape for tape lace,0,0,http://collection.cooperhewitt.org/types/35459997/
1,35459979,Lamp Shade and Base,0,0,http://collection.cooperhewitt.org/types/35459979/
3,35459951,Lace pattern with lace attached,0,0,http://collection.cooperhewitt.org/types/35459951/
1,35459995,"Basket, lid, dish",0,0,http://collection.cooperhewitt.org/types/35459995/
3,35459935,Cap fragment,0,0,http://collection.cooperhewitt.org/types/35459935/
2,35460851,Digital animation,0,0,http://collection.cooperhewitt.org/types/35460851/
3,35460809,USB flash drive,0,0,http://collection.cooperhewitt.org/types/35460809/
1,35457105,Chairback,0,0,http://collection.cooperhewitt.org/types/35457105/
1,35457107,Prototype for a domestic space heater,0,0,http://collection.cooperhewitt.org/types/35457107/
1,35474833,"Lid (e) and two-part spout (f,g) of hot water kettle/urn (b)",0,0,http://collection.cooperhewitt.org/types/35474833/
1,35474815,Nurse's jacket and pants,0,0,http://collection.cooperhewitt.org/types/35474815/
1,35474817,Boots for nurses uniform,0,0,http://collection.cooperhewitt.org/types/35474817/
1,35474819,Woman's short robe,0,0,http://collection.cooperhewitt.org/types/35474819/
5,35474813,Unfinished Sampler,0,0,http://collection.cooperhewitt.org/types/35474813/
1,35474811,Woman's short coat,0,0,http://collection.cooperhewitt.org/types/35474811/
1,35474809,Woman's gown,0,0,http://collection.cooperhewitt.org/types/35474809/
1,35456759,Gatefold LP Packaging,0,0,http://collection.cooperhewitt.org/types/35456759/
1,35456707,Baby carrier (mei tai),0,0,http://collection.cooperhewitt.org/types/35456707/
1,35456799,Task light,0,0,http://collection.cooperhewitt.org/types/35456799/
1,35456383,Pen tray and pen,0,0,http://collection.cooperhewitt.org/types/35456383/
1,35456321,Man's suit coat,0,0,http://collection.cooperhewitt.org/types/35456321/
1,35456393,Woven picture,0,0,http://collection.cooperhewitt.org/types/35456393/
1,35456325,Child's stomacher,0,0,http://collection.cooperhewitt.org/types/35456325/
1,35456313,Figure of Abraham Lincoln,0,0,http://collection.cooperhewitt.org/types/35456313/
1,35456263,Dress yoke,0,0,http://collection.cooperhewitt.org/types/35456263/
1,35456233,Hot milk jug,0,0,http://collection.cooperhewitt.org/types/35456233/
1,35456225,Border for handkerchief,0,0,http://collection.cooperhewitt.org/types/35456225/
1,35456219,Fragment and ornaments,0,0,http://collection.cooperhewitt.org/types/35456219/
1,35459875,Chocolate cup and saucer,0,0,http://collection.cooperhewitt.org/types/35459875/
1,35459863,Swatch book,0,0,http://collection.cooperhewitt.org/types/35459863/
24,35459887,Wood engraving. Vignette.,0,0,http://collection.cooperhewitt.org/types/35459887/
1,35459867,Bed hangings and coverlet,0,0,http://collection.cooperhewitt.org/types/35459867/
1,35459873,Girdle fragment,0,0,http://collection.cooperhewitt.org/types/35459873/
2,35459893,"Wood engraving, vignette",0,0,http://collection.cooperhewitt.org/types/35459893/
1,35459879,Chocolate pot and cover,0,0,http://collection.cooperhewitt.org/types/35459879/
2,35459877,Figure of a dog,0,0,http://collection.cooperhewitt.org/types/35459877/
1,35459871,Pring,0,0,http://collection.cooperhewitt.org/types/35459871/
1,35459885,Covering for a chair seat,0,0,http://collection.cooperhewitt.org/types/35459885/
1,35456467,Lock with backplate,0,0,http://collection.cooperhewitt.org/types/35456467/
1,35456419,Border &,0,0,http://collection.cooperhewitt.org/types/35456419/
1,35456405,Waistcoat pockets,0,0,http://collection.cooperhewitt.org/types/35456405/
1,68515141,Man's robe,0,0,http://collection.cooperhewitt.org/types/68515141/
1,68515115,Bag face or cover,0,0,http://collection.cooperhewitt.org/types/68515115/
1,68515117,Table frontal,0,0,http://collection.cooperhewitt.org/types/68515117/
